date_time,air_temp,panel_temp,wind_speed_10m,wind_direction_10m,dni,dhi,relative_humidity,gti,ghi
2024-07-07 00:00:00+00:00,18.41,18.41,3.23,65.1,0.0,0.0,61.0,0.0,0.0
2024-07-07 01:00:00+00:00,17.55,17.55,2.73,65.5,0.0,0.0,64.6,0.0,0.0
2024-07-07 02:00:00+00:00,17.09,17.09,2.79,76.7,0.0,0.0,67.1,0.0,0.0
2024-07-07 03:00:00+00:00,16.98,16.98,3.94,82.3,0.0,0.0,67.1,0.0,0.0
2024-07-07 04:00:00+00:00,16.49,16.49,4.06,86.7,0.0,0.0,71.1,0.0,0.0
2024-07-07 05:00:00+00:00,16.17,16.17,4.24,87.5,0.0,0.0,72.6,0.0,0.0
2024-07-07 06:00:00+00:00,16.06,16.06,3.65,80.4,0.0,0.0,73.9,0.0,0.0
2024-07-07 07:00:00+00:00,16.09,16.09,3.33,76.2,0.0,0.0,74.2,0.0,0.0
2024-07-07 08:00:00+00:00,15.93,15.93,3.25,74.0,0.0,0.0,74.6,0.0,0.0
2024-07-07 09:00:00+00:00,15.81,15.81,3.33,72.4,0.0,0.0,74.6,0.0,0.0
2024-07-07 10:00:00+00:00,16.07,27.54,3.3,69.7,6.39,15.97,74.3,54.6,35.05
2024-07-07 11:00:00+00:00,17.3,38.79,4.26,68.6,190.38,51.12,72.1,454.61,243.79
2024-07-07 12:00:00+00:00,18.27,46.81,4.67,68.2,399.22,74.6,69.4,739.97,473.82
2024-07-07 13:00:00+00:00,19.63,50.21,4.14,62.8,506.51,103.88,62.1,860.72,610.39
2024-07-07 14:00:00+00:00,21.13,52.52,3.14,52.6,569.24,136.62,51.0,942.86,705.86
2024-07-07 15:00:00+00:00,22.0,53.59,2.47,22.3,596.83,154.2,44.5,981.05,751.03
2024-07-07 16:00:00+00:00,22.36,51.2,2.12,4.6,477.35,215.55,43.2,896.06,692.91
2024-07-07 17:00:00+00:00,22.74,48.83,1.78,345.2,381.1,238.22,41.3,811.76,619.32
2024-07-07 18:00:00+00:00,22.96,45.47,1.45,320.5,329.95,163.38,39.8,692.12,493.33
2024-07-07 19:00:00+00:00,22.98,34.21,1.14,304.9,44.31,184.55,39.0,291.78,228.86
2024-07-07 20:00:00+00:00,22.76,30.72,1.09,251.7,32.67,72.83,38.9,167.7,106.37
2024-07-07 21:00:00+00:00,21.54,21.54,1.41,212.4,0.0,0.0,42.6,0.0,0.0
2024-07-07 22:00:00+00:00,21.07,21.07,1.41,146.9,0.0,0.0,45.3,0.0,0.0
2024-07-07 23:00:00+00:00,20.47,20.47,2.47,95.4,0.0,0.0,49.6,0.0,0.0
2024-07-08 00:00:00+00:00,19.77,19.77,2.3,83.4,0.0,0.0,52.6,0.0,0.0
2024-07-08 01:00:00+00:00,19.39,19.39,2.15,64.4,0.0,0.0,53.3,0.0,0.0
2024-07-08 02:00:00+00:00,19.2,19.2,2.15,70.5,0.0,0.0,54.4,0.0,0.0
2024-07-08 03:00:00+00:00,18.8,18.8,2.45,76.0,0.0,0.0,54.7,0.0,0.0
2024-07-08 04:00:00+00:00,18.06,18.06,2.43,74.1,0.0,0.0,56.1,0.0,0.0
2024-07-08 05:00:00+00:00,17.92,17.92,2.59,67.4,0.0,0.0,55.1,0.0,0.0
2024-07-08 06:00:00+00:00,17.53,17.53,2.3,63.9,0.0,0.0,56.4,0.0,0.0
2024-07-08 07:00:00+00:00,17.25,17.25,2.25,61.1,0.0,0.0,57.3,0.0,0.0
2024-07-08 08:00:00+00:00,17.18,17.18,2.35,59.7,0.0,0.0,56.9,0.0,0.0
2024-07-08 09:00:00+00:00,17.08,17.08,2.59,56.2,0.0,0.0,56.1,0.0,0.0
2024-07-08 10:00:00+00:00,16.97,27.54,2.65,55.9,6.39,15.97,56.4,54.6,35.05
2024-07-08 11:00:00+00:00,18.52,38.79,3.46,51.5,190.38,51.12,50.9,454.61,243.79
2024-07-08 12:00:00+00:00,19.37,46.72,3.71,53.5,397.47,74.27,48.0,736.72,471.74
2024-07-08 13:00:00+00:00,20.65,47.4,3.41,59.2,358.34,204.53,43.5,760.93,562.86
2024-07-08 14:00:00+00:00,21.44,52.74,2.1,75.1,573.94,137.75,40.4,950.65,711.7
2024-07-08 15:00:00+00:00,21.84,53.0,1.17,122.3,515.25,232.67,38.6,960.09,747.91
2024-07-08 16:00:00+00:00,22.22,48.57,1.42,151.1,241.66,410.74,37.5,802.38,652.4
2024-07-08 17:00:00+00:00,22.42,48.35,1.86,144.5,373.02,233.17,37.1,794.54,606.19
2024-07-08 18:00:00+00:00,22.57,44.18,2.15,140.8,269.67,205.16,37.0,646.48,474.83
2024-07-08 19:00:00+00:00,22.33,35.73,2.37,144.5,94.6,155.26,37.6,346.0,249.86
2024-07-08 20:00:00+00:00,22.07,30.71,2.55,144.1,32.6,72.67,38.4,167.34,106.14
2024-07-08 21:00:00+00:00,21.11,21.11,2.25,139.0,0.0,0.0,41.3,0.0,0.0
2024-07-08 22:00:00+00:00,20.88,20.88,2.65,132.9,0.0,0.0,41.8,0.0,0.0
2024-07-08 23:00:00+00:00,19.58,19.58,2.44,124.9,0.0,0.0,46.1,0.0,0.0
2024-07-09 00:00:00+00:00,19.73,19.73,2.63,109.4,0.0,0.0,46.0,0.0,0.0
2024-07-09 01:00:00+00:00,19.52,19.52,2.81,92.9,0.0,0.0,46.6,0.0,0.0
2024-07-09 02:00:00+00:00,18.01,18.01,2.38,74.0,0.0,0.0,51.0,0.0,0.0
2024-07-09 03:00:00+00:00,18.11,18.11,2.51,61.5,0.0,0.0,50.7,0.0,0.0
2024-07-09 04:00:00+00:00,17.64,17.64,3.26,69.3,0.0,0.0,53.9,0.0,0.0
2024-07-09 05:00:00+00:00,17.62,17.62,3.68,70.8,0.0,0.0,55.1,0.0,0.0
2024-07-09 06:00:00+00:00,17.3,17.3,3.71,68.3,0.0,0.0,55.2,0.0,0.0
2024-07-09 07:00:00+00:00,17.19,17.19,4.01,64.9,0.0,0.0,54.2,0.0,0.0
2024-07-09 08:00:00+00:00,16.83,16.83,4.15,60.1,0.0,0.0,54.1,0.0,0.0
2024-07-09 09:00:00+00:00,15.91,15.91,3.77,58.1,0.0,0.0,56.4,0.0,0.0
2024-07-09 10:00:00+00:00,16.58,27.54,3.68,57.9,6.39,15.97,53.6,54.6,35.05
2024-07-09 11:00:00+00:00,18.15,34.51,4.52,60.7,88.37,102.66,48.5,302.59,192.1
2024-07-09 12:00:00+00:00,19.79,39.18,4.91,63.9,155.57,184.57,42.9,468.73,340.13
2024-07-09 13:00:00+00:00,20.78,50.57,4.62,73.2,514.14,105.45,38.9,873.69,619.59
2024-07-09 14:00:00+00:00,21.22,52.96,3.69,85.5,580.51,139.33,36.7,958.57,719.84
2024-07-09 15:00:00+00:00,21.62,48.29,3.11,88.5,239.36,406.83,35.3,792.56,646.19
2024-07-09 16:00:00+00:00,21.99,50.69,2.89,90.6,396.12,296.22,34.5,877.85,692.34
2024-07-09 17:00:00+00:00,22.24,44.61,2.84,91.4,147.51,391.77,34.3,661.68,539.27
2024-07-09 18:00:00+00:00,22.49,38.82,2.45,96.3,43.4,336.32,34.0,455.89,379.73
2024-07-09 19:00:00+00:00,22.47,37.19,2.51,103.3,121.46,159.25,34.4,397.74,280.71
2024-07-09 20:00:00+00:00,21.95,31.14,3.18,101.9,39.46,70.82,36.3,182.68,111.34
2024-07-09 21:00:00+00:00,20.78,20.78,3.24,95.0,0.0,0.0,39.7,0.0,0.0
2024-07-09 22:00:00+00:00,20.15,20.15,3.07,89.6,0.0,0.0,42.0,0.0,0.0
2024-07-09 23:00:00+00:00,19.56,19.56,3.31,78.1,0.0,0.0,44.0,0.0,0.0
2024-07-10 00:00:00+00:00,19.03,19.03,3.35,65.3,0.0,0.0,45.5,0.0,0.0
2024-07-10 01:00:00+00:00,18.67,18.67,3.23,56.0,0.0,0.0,46.5,0.0,0.0
2024-07-10 02:00:00+00:00,17.63,17.63,3.04,52.9,0.0,0.0,49.7,0.0,0.0
2024-07-10 03:00:00+00:00,16.97,16.97,3.23,55.2,0.0,0.0,51.7,0.0,0.0
2024-07-10 04:00:00+00:00,16.73,16.73,3.25,53.9,0.0,0.0,52.0,0.0,0.0
2024-07-10 05:00:00+00:00,16.38,16.38,3.16,51.7,0.0,0.0,52.7,0.0,0.0
2024-07-10 06:00:00+00:00,15.89,15.89,4.3,53.3,0.0,0.0,56.4,0.0,0.0
2024-07-10 07:00:00+00:00,15.58,15.58,4.81,49.9,0.0,0.0,63.3,0.0,0.0
2024-07-10 08:00:00+00:00,15.19,15.19,4.47,45.0,0.0,0.0,68.1,0.0,0.0
2024-07-10 09:00:00+00:00,15.61,15.61,4.68,41.8,0.0,0.0,66.9,0.0,0.0
2024-07-10 10:00:00+00:00,15.84,27.72,4.63,38.8,8.02,13.56,65.9,61.04,44.02
2024-07-10 11:00:00+00:00,17.69,38.98,4.88,36.0,193.26,51.89,57.6,461.47,247.47
2024-07-10 12:00:00+00:00,19.4,44.96,4.54,35.2,352.97,86.91,49.3,674.25,439.88
2024-07-10 13:00:00+00:00,20.78,51.02,3.37,34.0,523.58,107.39,43.1,889.73,630.97
2024-07-10 14:00:00+00:00,21.69,53.74,2.13,33.5,597.21,143.34,39.5,986.14,740.55
2024-07-10 15:00:00+00:00,22.31,54.13,1.19,40.7,610.05,157.61,36.8,1000.02,767.66
2024-07-10 16:00:00+00:00,22.8,53.68,0.81,63.9,596.96,154.23,35.3,984.01,751.2
2024-07-10 17:00:00+00:00,23.23,48.86,0.74,99.5,381.54,238.5,34.2,812.71,620.04
2024-07-10 18:00:00+00:00,23.52,43.34,0.98,129.4,235.26,224.21,33.7,616.44,459.47
2024-07-10 19:00:00+00:00,23.5,39.98,1.39,140.0,200.85,124.98,33.9,497.22,325.83
2024-07-10 20:00:00+00:00,23.15,33.61,1.99,134.9,87.84,40.21,35.1,270.41,154.39
2024-07-10 21:00:00+00:00,22.49,22.49,2.16,120.6,0.0,0.0,36.7,0.0,0.0
2024-07-10 22:00:00+00:00,21.99,21.99,2.01,107.7,0.0,0.0,38.3,0.0,0.0
2024-07-10 23:00:00+00:00,21.8,21.8,2.41,91.7,0.0,0.0,39.7,0.0,0.0
2024-07-11 00:00:00+00:00,20.55,20.55,1.99,78.4,0.0,0.0,44.0,0.0,0.0
2024-07-11 01:00:00+00:00,20.08,20.08,2.33,59.3,0.0,0.0,46.8,0.0,0.0
2024-07-11 02:00:00+00:00,19.91,19.91,2.39,34.8,0.0,0.0,49.1,0.0,0.0
2024-07-11 03:00:00+00:00,19.26,19.26,2.48,38.5,0.0,0.0,51.4,0.0,0.0
2024-07-11 04:00:00+00:00,19.44,19.44,3.65,53.3,0.0,0.0,50.2,0.0,0.0
2024-07-11 05:00:00+00:00,18.8,18.8,4.77,57.7,0.0,0.0,52.3,0.0,0.0
2024-07-11 06:00:00+00:00,17.94,17.94,5.01,55.3,0.0,0.0,57.7,0.0,0.0
2024-07-11 07:00:00+00:00,17.52,17.52,4.59,55.2,0.0,0.0,59.4,0.0,0.0
2024-07-11 08:00:00+00:00,16.93,16.93,4.7,52.4,0.0,0.0,62.6,0.0,0.0
2024-07-11 09:00:00+00:00,16.64,16.64,4.99,42.0,0.0,0.0,64.7,0.0,0.0
2024-07-11 10:00:00+00:00,16.77,27.72,5.61,34.6,8.02,13.56,64.6,61.04,44.02
2024-07-11 11:00:00+00:00,18.19,38.75,5.98,32.5,192.66,51.68,58.1,453.31,246.49
2024-07-11 12:00:00+00:00,19.74,45.6,6.08,35.4,364.75,89.81,51.6,696.75,454.56
2024-07-11 13:00:00+00:00,21.17,51.13,5.56,41.6,525.84,107.85,45.6,893.56,633.69
2024-07-11 14:00:00+00:00,22.11,53.74,4.29,43.0,597.21,143.34,41.5,986.14,740.55
2024-07-11 15:00:00+00:00,22.71,54.13,3.4,45.0,610.05,157.61,38.8,1000.02,767.66
2024-07-11 16:00:00+00:00,23.21,53.31,3.36,49.5,589.15,152.22,37.7,971.15,741.38
2024-07-11 17:00:00+00:00,23.66,48.66,3.18,54.1,360.88,259.17,36.8,805.62,620.04
2024-07-11 18:00:00+00:00,23.9,43.34,3.26,59.5,235.26,224.21,36.6,616.44,459.47
2024-07-11 19:00:00+00:00,23.73,39.98,3.34,65.5,200.85,124.98,37.0,497.22,325.83
2024-07-11 20:00:00+00:00,23.33,33.86,3.53,75.2,92.38,43.73,37.5,279.34,154.39
2024-07-11 21:00:00+00:00,22.15,22.15,3.85,78.6,0.0,0.0,40.1,0.0,0.0
2024-07-11 22:00:00+00:00,21.5,21.5,4.02,73.1,0.0,0.0,43.0,0.0,0.0
2024-07-11 23:00:00+00:00,20.47,20.47,3.63,69.1,0.0,0.0,46.6,0.0,0.0
2024-07-12 00:00:00+00:00,19.54,19.54,2.53,63.9,0.0,0.0,48.1,0.0,0.0
2024-07-12 01:00:00+00:00,19.03,19.03,1.67,67.4,0.0,0.0,49.2,0.0,0.0
2024-07-12 02:00:00+00:00,18.78,18.78,1.92,82.2,0.0,0.0,50.9,0.0,0.0
2024-07-12 03:00:00+00:00,18.02,18.02,2.49,78.0,0.0,0.0,54.5,0.0,0.0
2024-07-12 04:00:00+00:00,17.52,17.52,3.38,67.4,0.0,0.0,58.1,0.0,0.0
2024-07-12 05:00:00+00:00,17.47,17.47,3.77,68.4,0.0,0.0,60.5,0.0,0.0
2024-07-12 06:00:00+00:00,17.42,17.42,4.57,71.5,0.0,0.0,61.1,0.0,0.0
2024-07-12 07:00:00+00:00,17.81,17.81,4.66,70.3,0.0,0.0,58.8,0.0,0.0
2024-07-12 08:00:00+00:00,17.1,17.1,4.16,60.8,0.0,0.0,62.2,0.0,0.0
2024-07-12 09:00:00+00:00,17.32,17.32,4.21,53.8,0.0,0.0,62.1,0.0,0.0
2024-07-12 10:00:00+00:00,17.63,27.72,4.14,51.2,8.02,13.56,60.3,61.04,44.02
2024-07-12 11:00:00+00:00,19.5,38.75,4.12,51.2,192.66,51.68,52.4,453.31,246.49
2024-07-12 12:00:00+00:00,21.14,45.6,4.23,58.1,364.75,89.81,43.2,696.75,454.56
2024-07-12 13:00:00+00:00,21.77,51.87,2.49,73.3,563.65,82.92,38.5,919.91,646.57
2024-07-12 14:00:00+00:00,22.21,53.36,1.88,92.1,589.12,141.39,36.8,972.78,730.51
2024-07-12 15:00:00+00:00,22.57,54.05,1.6,122.3,610.05,157.61,35.8,997.31,767.66
2024-07-12 16:00:00+00:00,22.78,53.6,1.79,144.0,596.96,154.23,35.5,981.27,751.2
2024-07-12 17:00:00+00:00,23.08,48.93,2.08,151.3,365.19,262.27,35.0,815.25,627.46
2024-07-12 18:00:00+00:00,23.23,43.34,2.22,163.3,235.26,224.21,34.7,616.44,459.47
2024-07-12 19:00:00+00:00,23.11,39.98,2.7,175.0,200.85,124.98,35.0,497.22,325.83
2024-07-12 20:00:00+00:00,22.6,33.86,3.23,172.7,92.38,43.73,36.7,279.34,154.39
2024-07-12 21:00:00+00:00,21.85,21.85,3.02,168.0,0.0,0.0,39.3,0.0,0.0
2024-07-12 22:00:00+00:00,21.03,21.03,4.32,174.2,0.0,0.0,46.6,0.0,0.0
2024-07-12 23:00:00+00:00,19.81,19.81,5.09,173.7,0.0,0.0,61.2,0.0,0.0
2024-07-13 00:00:00+00:00,18.75,18.75,4.96,173.9,0.0,0.0,67.3,0.0,0.0
2024-07-13 01:00:00+00:00,17.98,17.98,4.46,174.3,0.0,0.0,72.0,0.0,0.0
2024-07-13 02:00:00+00:00,17.46,17.46,4.02,174.7,0.0,0.0,75.7,0.0,0.0
2024-07-13 03:00:00+00:00,16.82,16.82,4.03,178.5,0.0,0.0,80.1,0.0,0.0
2024-07-13 04:00:00+00:00,16.21,16.21,4.02,179.3,0.0,0.0,83.8,0.0,0.0
2024-07-13 05:00:00+00:00,16.13,16.13,4.42,171.9,0.0,0.0,85.1,0.0,0.0
2024-07-13 06:00:00+00:00,15.87,15.87,3.78,171.1,0.0,0.0,86.7,0.0,0.0
2024-07-13 07:00:00+00:00,15.64,15.64,3.7,172.3,0.0,0.0,87.3,0.0,0.0
2024-07-13 08:00:00+00:00,15.33,15.33,3.57,173.2,0.0,0.0,87.8,0.0,0.0
2024-07-13 09:00:00+00:00,14.97,14.97,3.09,175.6,0.0,0.0,88.4,0.0,0.0
2024-07-13 10:00:00+00:00,14.91,27.72,3.4,181.6,8.02,13.56,87.4,61.04,44.02
2024-07-13 11:00:00+00:00,15.23,38.75,3.69,170.2,192.66,51.68,84.8,453.31,246.49
2024-07-13 12:00:00+00:00,15.92,45.6,3.71,155.3,364.75,89.81,81.4,696.75,454.56
2024-07-13 13:00:00+00:00,16.81,51.03,3.79,147.2,525.83,107.85,78.1,889.95,633.69
2024-07-13 14:00:00+00:00,17.8,53.7,4.09,131.6,596.34,143.13,74.4,984.72,739.48
2024-07-13 15:00:00+00:00,18.28,55.7,4.29,121.2,698.71,106.27,73.1,1056.12,804.98
2024-07-13 16:00:00+00:00,18.56,53.69,4.33,113.9,599.05,154.77,72.9,984.7,753.82
2024-07-13 17:00:00+00:00,18.88,48.9,4.33,115.6,364.8,261.98,71.6,814.36,626.77
2024-07-13 18:00:00+00:00,19.21,41.74,3.94,118.2,179.13,249.89,69.2,559.74,429.02
2024-07-13 19:00:00+00:00,19.19,37.69,3.97,119.1,131.49,161.59,68.2,415.82,293.08
2024-07-13 20:00:00+00:00,18.87,33.85,4.53,117.3,93.66,40.76,71.4,279.06,156.52
2024-07-13 21:00:00+00:00,18.58,18.58,4.28,110.5,0.0,0.0,70.6,0.0,0.0
2024-07-13 22:00:00+00:00,18.3,18.3,3.58,110.7,0.0,0.0,72.9,0.0,0.0
2024-07-13 23:00:00+00:00,18.03,18.03,3.44,118.1,0.0,0.0,75.2,0.0,0.0
2024-07-14 00:00:00+00:00,17.67,17.67,3.36,121.6,0.0,0.0,77.7,0.0,0.0
2024-07-14 01:00:00+00:00,17.45,17.45,3.24,127.2,0.0,0.0,78.4,0.0,0.0
2024-07-14 02:00:00+00:00,16.61,16.61,2.71,126.8,0.0,0.0,81.2,0.0,0.0
2024-07-14 03:00:00+00:00,16.64,16.64,3.65,121.6,0.0,0.0,80.3,0.0,0.0
2024-07-14 04:00:00+00:00,16.71,16.71,3.71,121.6,0.0,0.0,80.1,0.0,0.0
2024-07-14 05:00:00+00:00,16.46,16.46,4.3,110.5,0.0,0.0,82.5,0.0,0.0
2024-07-14 06:00:00+00:00,16.11,16.11,4.16,105.6,0.0,0.0,86.9,0.0,0.0
2024-07-14 07:00:00+00:00,15.64,15.64,4.88,92.6,0.0,0.0,91.0,0.0,0.0
2024-07-14 08:00:00+00:00,15.95,15.95,5.5,83.9,0.0,0.0,87.0,0.0,0.0
2024-07-14 09:00:00+00:00,15.8,15.8,6.39,83.2,0.0,0.0,85.8,0.0,0.0
2024-07-14 10:00:00+00:00,15.63,27.65,7.15,79.0,7.6,13.45,82.6,58.53,41.71
2024-07-14 11:00:00+00:00,15.78,38.78,8.48,73.6,193.18,51.82,77.2,454.53,247.15
2024-07-14 12:00:00+00:00,16.59,46.42,9.03,72.6,394.34,73.69,71.7,726.11,468.02
2024-07-14 13:00:00+00:00,17.34,51.08,8.98,75.4,526.89,108.07,69.1,891.74,634.96
2024-07-14 14:00:00+00:00,18.13,53.19,8.72,74.9,585.45,140.51,64.1,966.73,725.97
2024-07-14 15:00:00+00:00,18.64,55.7,8.07,74.7,698.71,106.27,61.1,1056.12,804.98
2024-07-14 16:00:00+00:00,18.85,53.37,7.64,77.1,591.94,152.94,59.9,973.02,744.88
2024-07-14 17:00:00+00:00,18.69,48.9,7.5,82.1,364.8,261.98,61.8,814.36,626.77
2024-07-14 18:00:00+00:00,18.13,44.82,6.76,88.6,280.14,213.12,65.2,669.27,493.27
2024-07-14 19:00:00+00:00,17.26,38.95,6.24,97.2,162.95,153.03,73.5,460.53,315.98
2024-07-14 20:00:00+00:00,16.89,34.14,5.87,96.9,98.93,38.55,75.6,289.54,165.34
2024-07-14 21:00:00+00:00,16.85,16.85,5.96,96.5,0.0,0.0,72.8,0.0,0.0
2024-07-14 22:00:00+00:00,16.5,16.5,5.77,90.3,0.0,0.0,72.5,0.0,0.0
2024-07-14 23:00:00+00:00,16.41,16.41,5.53,83.7,0.0,0.0,72.7,0.0,0.0
2024-07-15 00:00:00+00:00,16.24,16.24,6.81,88.6,0.0,0.0,71.4,0.0,0.0
2024-07-15 01:00:00+00:00,15.9,15.9,6.13,92.0,0.0,0.0,71.3,0.0,0.0
2024-07-15 02:00:00+00:00,15.71,15.71,6.05,97.3,0.0,0.0,74.8,0.0,0.0
2024-07-15 03:00:00+00:00,15.75,15.75,7.05,97.7,0.0,0.0,77.2,0.0,0.0
2024-07-15 04:00:00+00:00,15.39,15.39,7.81,97.3,0.0,0.0,81.1,0.0,0.0
2024-07-15 05:00:00+00:00,14.93,14.93,8.05,95.4,0.0,0.0,82.6,0.0,0.0
2024-07-15 06:00:00+00:00,14.51,14.51,7.91,92.8,0.0,0.0,84.3,0.0,0.0
2024-07-15 07:00:00+00:00,14.22,14.22,7.88,93.4,0.0,0.0,84.2,0.0,0.0
2024-07-15 08:00:00+00:00,14.02,14.02,7.84,95.5,0.0,0.0,84.5,0.0,0.0
2024-07-15 09:00:00+00:00,13.9,13.9,8.29,92.2,0.0,0.0,85.0,0.0,0.0
2024-07-15 10:00:00+00:00,13.84,27.72,9.16,86.6,8.02,13.56,82.9,61.04,44.02
2024-07-15 11:00:00+00:00,14.16,38.75,9.4,85.5,192.66,51.68,78.8,453.31,246.49
2024-07-15 12:00:00+00:00,17.18,45.6,8.83,82.2,364.75,89.81,71.1,696.75,454.56
2024-07-15 13:00:00+00:00,18.1,50.92,8.98,83.4,523.58,107.39,65.0,886.13,630.97
2024-07-15 14:00:00+00:00,18.99,53.65,8.91,84.3,597.21,143.34,58.8,983.16,740.55
2024-07-15 15:00:00+00:00,20.83,54.05,8.79,85.9,610.05,157.61,50.4,997.31,767.66
2024-07-15 16:00:00+00:00,21.59,53.6,8.84,86.9,596.96,154.23,47.2,981.27,751.2
2024-07-15 17:00:00+00:00,22.23,48.6,8.63,90.0,360.87,259.17,44.5,803.63,620.04
2024-07-15 18:00:00+00:00,22.32,43.28,8.15,91.2,235.26,224.21,43.2,614.5,459.47
2024-07-15 19:00:00+00:00,22.21,37.69,7.96,91.2,131.49,161.59,42.8,415.82,293.08
2024-07-15 20:00:00+00:00,21.38,34.14,7.79,93.3,98.93,38.55,45.3,289.54,165.34
2024-07-15 21:00:00+00:00,19.71,19.71,5.87,97.8,0.0,0.0,51.7,0.0,0.0
